轉運站SID,代表站碼,站名,樣本數,平均轉乘時間(分)
009,BR11/G16,南京復興,254,4.4
010,BR10/BL15,忠孝復興,392,4.5
011,BR09/R05,大安,287,4.6
031,BR24/BL23,南港展覽館,98,4.3
035,G03,七張,17,2.2
036,G04/Y07,大坪林,106,2.5
041,G09/O05,古亭,201,1.3
042,R08/G10,中正紀念堂,258,1.4
047,O02/Y11,景安,112,5.3
051,R10/BL12,台北車站,424,3.3
053,R11/G14,中山,126,2.8
055,R13/O11,民權西路,352,2.5
064,R22,北投,11,2.3
086,G12/BL11,西門,300,1.3
089,O07/BL14,忠孝新生,351,1.5
123,O17/Y18,頭前庄,124,5.5
128,O12,大橋頭,45,0.7
132,G15/O08,松江南京,133,1.4
134,R07/O06,東門,198,1.2
209,Y16,板橋,23,0.0
210,Y17,新埔民生,47,0.0
